"...You know what I'm getting' at, right? You think you could let me go see my girl?",
Nope.,
She probably left.,ok - irritable
What kind of girl is she?,ok - irritable
"Hey, sonny if somethin's been botherin' you. I'm willing to give you a listen.",
My relationships...,good - irritable
My future...,
I have no worries.,
"Have you made an appointment, ho?",
I have.,ok - gloomy
That's not it.,
Just tell me what you know.,
"Maybe I should try something new! I don't want to fall into mediocrity, ho...",
You're fine as is.,bad - gloomy
Your act is a bit stale...,
Time for a makeover.,
"Hell, I got all sorta girls lined up if you're into that.",
Really?,
You're trying way too hard.,ok - timid
I'm not interested.,
"How 'bout we have an interview? You're the winner, after all. I'll listen to whatever you gotta say.",
I feel great.,
I want to aim higher.,ok - timid
Fighting is pointless.,
You carry a gun because you think it'll make you more popular with the girls?,
That's right.,
It won't?,
It's for self-improvement.,good - timid
It's no fun going home when only my annoying mom and dad are there.,
Parents are annoying.,ok - timid
You should love your parents.,
Make sure you go home.,
Me not understand in what way you superior to me...,
I'm younger than you.,
I'm cuter than you.,
I'm better at small talk.,"good - upbeat, timid"
You go back to your mother' arms. You need take nap now.,
I'm not that young.,
I'm not sleepy yet.,good - upbeat
Mom will wait till I'm done.,"good - timid, irritable"
I insist you surrender yourself to the authorities.,
This is a misunderstanding.,
I don't have the time.,
You've got the wrong idea.,bad - gloomy
I occassionally wish to pamper myself as a reward for working hard. How would you do that?,
Relax at home.,bad - gloomy
Go impulse shopping.,
Don't be so selfish.,
Why're you so desperate?,
I don't want to die.,
There's something I must do.,good - timid
I'm not desperate.,
"That's wack, man. Maybe you should get your head checked out.",
I probably should.,
I'm fine as is.,ok - timid
You're a sore loser.,
Care to explain yourself? I certainly hope you have a good reason for this boorish treatment.,
It'd take a while to explain.,good - gloomy
There's no need to explain.,
Just shut up.,
Why have you decided to be more communicative with me?,
Your looks.,ok - gloomy
You seemed useful.,
No particular reason.,
...So? What's going to happen to me now?,
You'll be killed.,
What do you want to happen?,good - upbeat
It's a secret.,good - upbeat
"I wanted to go on vacation, too, before all this happened...",
That's too bad.,
What are you getting at?,good - upbeat
You have a boyfriend?,
"...I'm not going to go easy on you for doing something like this, you know...",
I'm sorry.,ok - upbeat
Prepare for the worst.,
How much do you want?,
"You do understand that I'm here because people like you exist, right?",
I never thought of that.,
"Eh, doesn't matter.",
What do you mean?,bad - upbeat
I wonder if us speaking together like this now means that we are somehow connected...,
"Eh, could be.",
"No, I don't think so.",
It's what we call destiny.,good - upbeat
What you thinking now?,
I have homework tonight.,good - timid
I need a new cell phone.,
I want girls to like me.,
Me guessing you have power that me not have. But what is it...?,
It's my intelligence.,
It's money.,
Girl power.,ok - timid
"Humans always want either an autograph or a self-hee, ho. Which is it, ho?",
I want an autograph.,bad - gloomy
I want a photo.,
Give me your credit card.,
"My only choice now... is to retire, ho.",
That's too far.,
What are your plans?,ok - gloomy
You had a good run...,
...I gotta ask. How do you train?,
I don't really train.,
I just have a knack for it.,bad - irritable
Luck's usually on my side.,ok - timid
"In the end, killin' me's just a waste of yer time and energy. You get what I'm sayin', right?",
When you put it that way...,
It's not a waste.,bad - irritable
Enemies must be eliminated.,
"Hey mister, if I grew up, what do you think the future me would've been like?",
A fashionable older woman.,
A weathly housewife.,good - irritable
Living in the darkness.,
I'll go out with you just for today if there are no strings attached.,
If it pleases you.,good - irritable
No strings attached?,
I've got enough on my plate...,
